Economico,"Nombre Sucursal","Fecha Ingreso","Fecha Promesa","Fecha Entrega",Motivo,"Costo por Reparacion","Dias en Detencion",nombreEstatus,Comentarios,"Nombre Operacion",Mad,Operacion
TZ-227,Hermosillo,2019-09-05,2020-03-09,0000-00-00,"Mantenimiento Correctivo",100000,184,"En espera de refacciones","MEDIA REPARACION DE MOTOR. POS ENFRIADOR DE ACEITE PARA FECHA DE ENTREGA, MENCIONA EL PROVEDOR QUE ANTES DEL LUNES LLEGA LA PIEZA",Arca,MOTRIZ,Arca
TZ-138,Durango,2018-09-15,2020-03-09,0000-00-00,"Mantenimiento Correctivo",562000,539,"En proceso de reparación","Se le realizo reparacion general de motor, ya se termino, pero presenta problemas eléctricos, fufas de aire y de fluidos",Arca,MOTRIZ,Arca
TZ-132,Culiacan,2019-05-31,2020-03-09,,"Mantenimiento Correctivo",110000,281,"En proceso de reparación","Media reparación de motor.",Arca,MOTRIZ,Arca
TZ-208,Durango,2020-02-29,2020-03-07,0000-00-00,"Mantenimiento Correctivo",7000,7,"En proceso de reparación","Se realizan trabajo de soldadura en soportes de cofre, esta unidad tiene varios detalles adicionales que se estarán atendiendo algunos en patio y con otros proveedores",Arca,MOTRIZ,Arca
TZ-163,Mexicali,2019-10-03,2020-03-10,0000-00-00,"Mantenimiento Correctivo",124685,156,"En proceso de reparación","Reparación general de motor (long block)",Arca,MOTRIZ,Arca
TZ-116,Mazatlan,2019-09-05,2020-03-16,,"Mantenimiento Correctivo",110000,184,"En proceso de reparación","Media reparación de motor por desgaste debido a contaminación de refrigerante en el aceite.",Arca,MOTRIZ,Arca
TZ-226,Hermosillo,2020-03-06,2020-03-07,0000-00-00,"Mantenimiento Preventivo",6755,1,"En proceso de reparación","Unidad se ingreso a M-1, la unidad se encuentra en proceso de reparación.",Arca,MOTRIZ,Arca
TZ-233,Mexicali,2020-03-06,2020-03-06,,"Mantenimiento Preventivo",0,1,"En proceso de reparación","SE INGRESA UNIDAD TZ-233 PARA MTTO PREVENTIVO.",Arca,MOTRIZ,Arca
TZ-215,Chihuahua,2020-03-05,2020-03-07,0000-00-00,"Mantenimiento Preventivo",0,2,"En proceso de reparación","Fuga de diésel por manguera doblada",Arca,MOTRIZ,Arca
TZ-104,Pepsi,2019-12-10,2020-03-31,,"Mantenimiento Correctivo",200000,88,"En espera de autorización","Media reparación de motor por falla de freno de motor (alcance valvular)","Mexico Pepsi",MOTRIZ,"Mexico Pepsi"
TZ-289,Pepsi,2020-03-02,2020-03-13,0000-00-00,"Mantenimiento Correctivo",97591,5,"En espera de autorización","Concha quebrada de transmisión, tornillos capados, daño e transmision.","Mexico Pepsi",MOTRIZ,"Mexico Pepsi"
TZ-279,Pepsi,2020-02-28,2020-03-09,0000-00-00,"Mantenimiento Correctivo",20000,8,"En espera de diagnostico","Calibración de motor
Corregir fuga aceite riel inyectores
Revisar fuga aceite diferencial inter
Revisar indicador temperatura diferencial inter
Revisar funcionamiento faros niebla, A/C camarote, l","Mexico Pepsi",MOTRIZ,"Mexico Pepsi"
TZ-268,Pepsi,2020-02-28,2020-03-09,0000-00-00,"Mantenimiento Correctivo",20000,8,"En espera de diagnostico","Unidad incendiada, arneses y módulos","Mexico Pepsi",MOTRIZ,"Mexico Pepsi"
TZ-260,Pepsi,2020-03-04,2020-03-07,0000-00-00,"Mantenimiento Correctivo",10000,3,"En espera de diagnostico","Esta unidad presenta falla de encendido, acaba de ser rescatada por la agencia, es el segundo reingreso al distribuidor, se esta reportando falla en el motor de arranque.","Mexico Pepsi",MOTRIZ,"Mexico Pepsi"
